label,class_name,total_groups,train_groups,val_groups,train_samples,val_samples,validation_status,segment
93,0093,176,158,18,160,18,covered_noisy_labels,head
94,0094,222,200,22,200,22,covered_noisy_labels,head
95,0095,247,222,25,223,25,covered_noisy_labels,head
96,0096,199,179,20,179,20,covered_noisy_labels,head
97,0097,151,136,15,136,15,covered_noisy_labels,head
98,0098,167,150,17,150,17,covered_noisy_labels,head
99,0099,200,180,20,180,20,covered_noisy_labels,head
100,0100,191,172,19,172,19,covered_noisy_labels,head
101,0101,187,168,19,168,19,covered_noisy_labels,head
102,0102,167,150,17,150,17,covered_noisy_labels,head
103,0103,232,209,23,209,23,covered_noisy_labels,head
104,0104,176,158,18,158,18,covered_noisy_labels,head
105,0105,240,216,24,216,24,covered_noisy_labels,head
106,0106,240,216,24,216,24,covered_noisy_labels,head
107,0107,194,175,19,175,20,covered_noisy_labels,head
108,0108,169,152,17,153,17,covered_noisy_labels,head
109,0109,236,212,24,212,24,covered_noisy_labels,head
110,0110,220,198,22,199,22,covered_noisy_labels,head
111,0111,222,200,22,201,22,covered_noisy_labels,head
112,0112,234,211,23,212,23,covered_noisy_labels,head
113,0113,181,163,18,163,18,covered_noisy_labels,head
114,0114,58,52,6,52,6,covered_noisy_labels,middle
115,0115,196,176,20,176,20,covered_noisy_labels,head
116,0116,194,175,19,176,19,covered_noisy_labels,head
117,0117,227,204,23,204,23,covered_noisy_labels,head
118,0118,176,158,18,158,18,covered_noisy_labels,head
119,0119,173,156,17,156,17,covered_noisy_labels,head
120,0120,243,219,24,219,24,covered_noisy_labels,head
121,0121,178,160,18,160,18,covered_noisy_labels,head
122,0122,168,151,17,151,17,covered_noisy_labels,head
123,0123,193,174,19,175,19,covered_noisy_labels,head
124,0124,233,210,23,211,23,covered_noisy_labels,head
125,0125,219,197,22,197,22,covered_noisy_labels,head
126,0126,231,208,23,208,24,covered_noisy_labels,head
127,0127,232,209,23,211,23,covered_noisy_labels,head
128,0128,166,149,17,149,17,covered_noisy_labels,head
129,0129,170,153,17,156,17,covered_noisy_labels,head
130,0130,245,221,24,221,24,covered_noisy_labels,head
131,0131,242,218,24,220,24,covered_noisy_labels,head
132,0132,170,153,17,156,17,covered_noisy_labels,head
133,0133,239,215,24,217,24,covered_noisy_labels,head
134,0134,189,170,19,175,19,covered_noisy_labels,head
135,0135,199,179,20,179,20,covered_noisy_labels,head
136,0136,230,207,23,207,23,covered_noisy_labels,head
137,0137,161,145,16,145,16,covered_noisy_labels,head
138,0138,177,159,18,160,18,covered_noisy_labels,head
139,0139,218,196,22,196,22,covered_noisy_labels,head
140,0140,215,193,22,195,23,covered_noisy_labels,head
141,0141,189,170,19,170,19,covered_noisy_labels,head
142,0142,239,215,24,216,24,covered_noisy_labels,head
143,0143,196,176,20,176,20,covered_noisy_labels,head
144,0144,159,143,16,143,16,covered_noisy_labels,head
145,0145,91,82,9,82,9,covered_noisy_labels,middle
146,0146,220,198,22,199,22,covered_noisy_labels,head
147,0147,189,170,19,170,19,covered_noisy_labels,head
148,0148,171,154,17,154,17,covered_noisy_labels,head
149,0149,236,212,24,212,24,covered_noisy_labels,head
150,0150,221,199,22,199,22,covered_noisy_labels,head
151,0151,195,175,20,175,20,covered_noisy_labels,head
152,0152,156,140,16,140,16,covered_noisy_labels,head
153,0153,180,162,18,164,19,covered_noisy_labels,head
154,0154,159,143,16,144,16,covered_noisy_labels,head
155,0155,222,200,22,202,22,covered_noisy_labels,head
156,0156,224,202,22,202,22,covered_noisy_labels,head
157,0157,236,212,24,212,24,covered_noisy_labels,head
158,0158,221,199,22,199,22,covered_noisy_labels,head
159,0159,188,169,19,171,19,covered_noisy_labels,head
160,0160,238,214,24,214,24,covered_noisy_labels,head
161,0161,178,160,18,160,18,covered_noisy_labels,head
162,0162,233,210,23,210,23,covered_noisy_labels,head
163,0163,153,138,15,138,15,covered_noisy_labels,head
164,0164,227,204,23,204,23,covered_noisy_labels,head
165,0165,223,201,22,202,22,covered_noisy_labels,head
166,0166,196,176,20,177,20,covered_noisy_labels,head
167,0167,227,204,23,204,23,covered_noisy_labels,head
168,0168,239,215,24,215,24,covered_noisy_labels,head
169,0169,234,211,23,211,23,covered_noisy_labels,head
170,0170,187,168,19,168,19,covered_noisy_labels,head
171,0171,246,221,25,222,25,covered_noisy_labels,head
172,0172,246,221,25,221,25,covered_noisy_labels,head
173,0173,211,190,21,191,22,covered_noisy_labels,head
174,0174,194,175,19,176,19,covered_noisy_labels,head
175,0175,212,191,21,192,21,covered_noisy_labels,head
176,0176,165,149,16,149,16,covered_noisy_labels,head
177,0177,221,199,22,199,22,covered_noisy_labels,head
178,0178,168,151,17,151,17,covered_noisy_labels,head
179,0179,224,202,22,202,22,covered_noisy_labels,head
180,0180,231,208,23,209,23,covered_noisy_labels,head
181,0181,228,205,23,205,23,covered_noisy_labels,head
182,0182,228,205,23,208,25,covered_noisy_labels,head
183,0183,5,4,1,4,1,covered_noisy_labels,tail
184,0184,237,213,24,214,24,covered_noisy_labels,head
185,0185,166,149,17,150,17,covered_noisy_labels,head
186,0186,177,159,18,160,18,covered_noisy_labels,head
187,0187,189,170,19,170,19,covered_noisy_labels,head
188,0188,182,164,18,164,18,covered_noisy_labels,head
189,0189,187,168,19,168,19,covered_noisy_labels,head
190,0190,236,212,24,213,24,covered_noisy_labels,head
191,0191,247,222,25,222,25,covered_noisy_labels,head
192,0192,228,205,23,205,23,covered_noisy_labels,head
193,0193,167,150,17,150,17,covered_noisy_labels,head
194,0194,215,193,22,193,22,covered_noisy_labels,head
195,0195,197,177,20,177,20,covered_noisy_labels,head
196,0196,244,220,24,221,24,covered_noisy_labels,head
197,0197,167,150,17,150,17,covered_noisy_labels,head
198,0198,241,217,24,217,24,covered_noisy_labels,head
199,0199,231,208,23,208,23,covered_noisy_labels,head
200,0200,186,167,19,167,19,covered_noisy_labels,head
201,0201,244,220,24,220,24,covered_noisy_labels,head
202,0202,232,209,23,209,23,covered_noisy_labels,head
203,0203,242,218,24,218,24,covered_noisy_labels,head
204,0204,216,194,22,194,22,covered_noisy_labels,head
205,0205,163,147,16,147,16,covered_noisy_labels,head
206,0206,246,221,25,222,25,covered_noisy_labels,head
207,0207,237,213,24,213,24,covered_noisy_labels,head
208,0208,170,153,17,153,17,covered_noisy_labels,head
209,0209,177,159,18,159,19,covered_noisy_labels,head
210,0210,180,162,18,162,18,covered_noisy_labels,head
211,0211,185,167,18,167,18,covered_noisy_labels,head
212,0212,161,145,16,145,16,covered_noisy_labels,head
213,0213,180,162,18,162,18,covered_noisy_labels,head
214,0214,197,177,20,178,20,covered_noisy_labels,head
215,0215,224,202,22,202,22,covered_noisy_labels,head
216,0216,176,158,18,158,18,covered_noisy_labels,head
217,0217,242,218,24,220,24,covered_noisy_labels,head
218,0218,221,199,22,200,22,covered_noisy_labels,head
219,0219,192,173,19,174,19,covered_noisy_labels,head
220,0220,213,192,21,193,21,covered_noisy_labels,head
221,0221,191,172,19,172,19,covered_noisy_labels,head
222,0222,163,147,16,148,16,covered_noisy_labels,head
223,0223,216,194,22,194,22,covered_noisy_labels,head
224,0224,220,198,22,198,22,covered_noisy_labels,head
225,0225,155,139,16,140,16,covered_noisy_labels,head
226,0226,221,199,22,202,22,covered_noisy_labels,head
227,0227,227,204,23,204,23,covered_noisy_labels,head
228,0228,226,203,23,204,23,covered_noisy_labels,head
229,0229,163,147,16,147,16,covered_noisy_labels,head
230,0230,217,195,22,195,22,covered_noisy_labels,head
231,0231,166,149,17,149,17,covered_noisy_labels,head
232,0232,199,179,20,179,20,covered_noisy_labels,head
233,0233,230,207,23,207,23,covered_noisy_labels,head
234,0234,231,208,23,208,23,covered_noisy_labels,head
235,0235,225,203,22,203,22,covered_noisy_labels,head
236,0236,218,196,22,196,22,covered_noisy_labels,head
237,0237,151,136,15,136,15,covered_noisy_labels,head
238,0238,181,163,18,163,18,covered_noisy_labels,head
239,0239,221,199,22,199,22,covered_noisy_labels,head
240,0240,234,211,23,214,23,covered_noisy_labels,head
241,0241,178,160,18,160,18,covered_noisy_labels,head
242,0242,186,167,19,167,19,covered_noisy_labels,head
243,0243,239,215,24,215,24,covered_noisy_labels,head
244,0244,172,155,17,156,17,covered_noisy_labels,head
245,0245,188,169,19,170,19,covered_noisy_labels,head
246,0246,239,215,24,215,24,covered_noisy_labels,head
247,0247,223,201,22,201,22,covered_noisy_labels,head
248,0248,244,220,24,220,24,covered_noisy_labels,head
249,0249,191,172,19,173,19,covered_noisy_labels,head
250,0250,190,171,19,173,19,covered_noisy_labels,head
251,0251,155,139,16,139,16,covered_noisy_labels,head
252,0252,231,208,23,208,23,covered_noisy_labels,head
253,0253,227,204,23,204,23,covered_noisy_labels,head
254,0254,188,169,19,170,19,covered_noisy_labels,head
255,0255,172,155,17,155,17,covered_noisy_labels,head
256,0256,158,142,16,142,16,covered_noisy_labels,head
257,0257,230,207,23,207,23,covered_noisy_labels,head
258,0258,194,175,19,175,19,covered_noisy_labels,head
259,0259,239,215,24,216,24,covered_noisy_labels,head
260,0260,219,197,22,197,22,covered_noisy_labels,head
261,0261,241,217,24,217,25,covered_noisy_labels,head
262,0262,213,192,21,193,21,covered_noisy_labels,head
263,0263,161,145,16,145,16,covered_noisy_labels,head
264,0264,158,142,16,142,16,covered_noisy_labels,head
265,0265,227,204,23,204,23,covered_noisy_labels,head
266,0266,173,156,17,157,17,covered_noisy_labels,head
267,0267,246,221,25,221,25,covered_noisy_labels,head
268,0268,177,159,18,159,18,covered_noisy_labels,head
269,0269,232,209,23,212,23,covered_noisy_labels,head
270,0270,163,147,16,147,16,covered_noisy_labels,head
271,0271,188,169,19,169,19,covered_noisy_labels,head
272,0272,150,135,15,136,15,covered_noisy_labels,head
273,0273,172,155,17,156,17,covered_noisy_labels,head
274,0274,159,143,16,143,16,covered_noisy_labels,head
275,0275,164,148,16,148,16,covered_noisy_labels,head
276,0276,243,219,24,219,24,covered_noisy_labels,head
277,0277,237,213,24,214,24,covered_noisy_labels,head
278,0278,162,146,16,146,16,covered_noisy_labels,head
279,0279,226,203,23,203,23,covered_noisy_labels,head
280,0280,150,135,15,136,15,covered_noisy_labels,head
281,0281,196,176,20,176,20,covered_noisy_labels,head
282,0282,183,165,18,165,18,covered_noisy_labels,head
283,0283,221,199,22,199,22,covered_noisy_labels,head
284,0284,152,137,15,137,15,covered_noisy_labels,head
285,0285,159,143,16,144,16,covered_noisy_labels,head
286,0286,239,215,24,215,24,covered_noisy_labels,head
287,0287,236,212,24,212,25,covered_noisy_labels,head
288,0288,229,206,23,207,23,covered_noisy_labels,head
289,0289,222,200,22,200,22,covered_noisy_labels,head
290,0290,217,195,22,196,22,covered_noisy_labels,head
291,0291,161,145,16,145,16,covered_noisy_labels,head
292,0292,223,201,22,201,22,covered_noisy_labels,head
293,0293,228,205,23,205,23,covered_noisy_labels,head
294,0294,194,175,19,175,19,covered_noisy_labels,head
295,0295,236,212,24,212,24,covered_noisy_labels,head
296,0296,197,177,20,177,20,covered_noisy_labels,head
297,0297,212,191,21,192,21,covered_noisy_labels,head
298,0298,193,174,19,174,19,covered_noisy_labels,head
299,0299,157,141,16,141,16,covered_noisy_labels,head
300,0300,227,204,23,205,23,covered_noisy_labels,head
301,0301,165,149,16,149,16,covered_noisy_labels,head
302,0302,239,215,24,215,24,covered_noisy_labels,head
303,0303,220,198,22,198,22,covered_noisy_labels,head
304,0304,145,131,14,131,14,covered_noisy_labels,head
305,0305,31,28,3,28,3,covered_noisy_labels,middle
306,0306,222,200,22,200,22,covered_noisy_labels,head
307,0307,175,157,18,159,18,covered_noisy_labels,head
308,0308,172,155,17,155,17,covered_noisy_labels,head
309,0309,193,174,19,177,20,covered_noisy_labels,head
310,0310,230,207,23,207,23,covered_noisy_labels,head
311,0311,165,149,16,149,16,covered_noisy_labels,head
312,0312,177,159,18,159,18,covered_noisy_labels,head
313,0313,189,170,19,170,19,covered_noisy_labels,head
314,0314,219,197,22,198,22,covered_noisy_labels,head
315,0315,197,177,20,177,20,covered_noisy_labels,head
316,0316,218,196,22,196,22,covered_noisy_labels,head
317,0317,153,138,15,138,15,covered_noisy_labels,head
318,0318,119,107,12,107,12,covered_noisy_labels,head
319,0319,216,194,22,194,22,covered_noisy_labels,head
320,0320,240,216,24,216,24,covered_noisy_labels,head
321,0321,188,169,19,169,19,covered_noisy_labels,head
322,0322,188,169,19,169,19,covered_noisy_labels,head
323,0323,196,176,20,176,20,covered_noisy_labels,head
324,0324,124,112,12,112,12,covered_noisy_labels,head
325,0325,200,180,20,180,20,covered_noisy_labels,head
326,0326,188,169,19,170,19,covered_noisy_labels,head
327,0327,247,222,25,222,25,covered_noisy_labels,head
328,0328,190,171,19,172,19,covered_noisy_labels,head
329,0329,235,211,24,211,24,covered_noisy_labels,head
330,0330,79,71,8,71,8,covered_noisy_labels,middle
331,0331,232,209,23,209,24,covered_noisy_labels,head
332,0332,169,152,17,153,17,covered_noisy_labels,head
333,0333,187,168,19,168,19,covered_noisy_labels,head
334,0334,198,178,20,179,21,covered_noisy_labels,head
335,0335,158,142,16,142,16,covered_noisy_labels,head
336,0336,165,149,16,149,16,covered_noisy_labels,head
337,0337,171,154,17,155,17,covered_noisy_labels,head
338,0338,199,179,20,179,20,covered_noisy_labels,head
339,0339,235,211,24,211,24,covered_noisy_labels,head
340,0340,200,180,20,180,20,covered_noisy_labels,head
341,0341,149,134,15,136,15,covered_noisy_labels,head
342,0342,234,211,23,211,23,covered_noisy_labels,head
343,0343,179,161,18,161,18,covered_noisy_labels,head
344,0344,227,204,23,204,23,covered_noisy_labels,head
345,0345,191,172,19,172,19,covered_noisy_labels,head
346,0346,162,146,16,146,16,covered_noisy_labels,head
347,0347,198,178,20,178,20,covered_noisy_labels,head
348,0348,215,193,22,194,23,covered_noisy_labels,head
349,0349,224,202,22,203,22,covered_noisy_labels,head
350,0350,175,157,18,157,18,covered_noisy_labels,head
351,0351,229,206,23,208,23,covered_noisy_labels,head
352,0352,153,138,15,141,16,covered_noisy_labels,head
353,0353,200,180,20,180,20,covered_noisy_labels,head
354,0354,215,193,22,193,22,covered_noisy_labels,head
355,0355,162,146,16,146,16,covered_noisy_labels,head
356,0356,220,198,22,198,22,covered_noisy_labels,head
357,0357,240,216,24,216,24,covered_noisy_labels,head
358,0358,193,174,19,174,19,covered_noisy_labels,head
359,0359,241,217,24,217,24,covered_noisy_labels,head
360,0360,186,167,19,168,19,covered_noisy_labels,head
361,0361,150,135,15,135,15,covered_noisy_labels,head
362,0362,238,214,24,214,24,covered_noisy_labels,head
363,0363,240,216,24,217,24,covered_noisy_labels,head
364,0364,245,221,24,221,24,covered_noisy_labels,head
365,0365,192,173,19,173,19,covered_noisy_labels,head
366,0366,236,212,24,212,24,covered_noisy_labels,head
367,0367,228,205,23,206,23,covered_noisy_labels,head
368,0368,218,196,22,197,22,covered_noisy_labels,head
369,0369,245,221,24,223,24,covered_noisy_labels,head
370,0370,154,139,15,139,15,covered_noisy_labels,head
371,0371,173,156,17,156,17,covered_noisy_labels,head
372,0372,225,203,22,203,22,covered_noisy_labels,head
373,0373,174,157,17,157,17,covered_noisy_labels,head
374,0374,191,172,19,173,19,covered_noisy_labels,head
375,0375,155,139,16,139,16,covered_noisy_labels,head
376,0376,231,208,23,208,23,covered_noisy_labels,head
377,0377,184,166,18,166,18,covered_noisy_labels,head
378,0378,156,140,16,140,16,covered_noisy_labels,head
379,0379,154,139,15,139,15,covered_noisy_labels,head
380,0380,247,222,25,222,25,covered_noisy_labels,head
381,0381,187,168,19,169,19,covered_noisy_labels,head
382,0382,186,167,19,167,19,covered_noisy_labels,head
383,0383,195,175,20,176,20,covered_noisy_labels,head
384,0384,174,157,17,157,17,covered_noisy_labels,head
385,0385,189,170,19,170,19,covered_noisy_labels,head
386,0386,159,143,16,144,16,covered_noisy_labels,head
387,0387,157,141,16,141,16,covered_noisy_labels,head
388,0388,233,210,23,210,23,covered_noisy_labels,head
389,0389,153,138,15,138,15,covered_noisy_labels,head
390,0390,221,199,22,199,22,covered_noisy_labels,head
391,0391,176,158,18,158,18,covered_noisy_labels,head
392,0392,192,173,19,173,19,covered_noisy_labels,head
393,0393,180,162,18,163,18,covered_noisy_labels,head
394,0394,197,177,20,179,20,covered_noisy_labels,head
395,0395,221,199,22,203,22,covered_noisy_labels,head
396,0396,222,200,22,201,22,covered_noisy_labels,head
397,0397,216,194,22,194,22,covered_noisy_labels,head
398,0398,185,167,18,168,18,covered_noisy_labels,head
399,0399,215,193,22,193,22,covered_noisy_labels,head
400,0400,153,138,15,138,15,covered_noisy_labels,head
401,0401,226,203,23,203,23,covered_noisy_labels,head
402,0402,246,221,25,221,25,covered_noisy_labels,head
403,0403,215,193,22,193,22,covered_noisy_labels,head
404,0404,171,154,17,154,17,covered_noisy_labels,head
405,0405,162,146,16,146,16,covered_noisy_labels,head
406,0406,170,153,17,153,17,covered_noisy_labels,head
407,0407,99,89,10,89,10,covered_noisy_labels,middle
408,0408,223,201,22,201,22,covered_noisy_labels,head
409,0409,177,159,18,161,18,covered_noisy_labels,head
410,0410,156,140,16,140,16,covered_noisy_labels,head
411,0411,228,205,23,205,23,covered_noisy_labels,head
412,0412,217,195,22,195,22,covered_noisy_labels,head
413,0413,22,20,2,20,2,covered_noisy_labels,middle
414,0414,177,159,18,159,18,covered_noisy_labels,head
415,0415,157,141,16,141,16,covered_noisy_labels,head
416,0416,241,217,24,217,24,covered_noisy_labels,head
417,0417,172,155,17,155,17,covered_noisy_labels,head
418,0418,150,135,15,135,15,covered_noisy_labels,head
419,0419,233,210,23,211,23,covered_noisy_labels,head
420,0420,188,169,19,169,19,covered_noisy_labels,head
421,0421,245,221,24,221,24,covered_noisy_labels,head
422,0422,173,156,17,156,17,covered_noisy_labels,head
423,0423,225,203,22,203,22,covered_noisy_labels,head
424,0424,190,171,19,171,19,covered_noisy_labels,head
425,0425,193,174,19,174,19,covered_noisy_labels,head
426,0426,226,203,23,203,23,covered_noisy_labels,head
427,0427,247,222,25,222,25,covered_noisy_labels,head
428,0428,176,158,18,158,18,covered_noisy_labels,head
429,0429,231,208,23,210,23,covered_noisy_labels,head
430,0430,231,208,23,210,23,covered_noisy_labels,head
431,0431,141,127,14,127,14,covered_noisy_labels,head
432,0432,227,204,23,206,24,covered_noisy_labels,head
433,0433,169,152,17,152,17,covered_noisy_labels,head
434,0434,245,221,24,221,24,covered_noisy_labels,head
435,0435,190,171,19,171,19,covered_noisy_labels,head
436,0436,163,147,16,147,16,covered_noisy_labels,head
437,0437,178,160,18,160,18,covered_noisy_labels,head
438,0438,229,206,23,207,23,covered_noisy_labels,head
439,0439,220,198,22,198,22,covered_noisy_labels,head
440,0440,188,169,19,169,19,covered_noisy_labels,head
441,0441,213,192,21,193,21,covered_noisy_labels,head
442,0442,182,164,18,164,18,covered_noisy_labels,head
443,0443,169,152,17,152,17,covered_noisy_labels,head
444,0444,192,173,19,173,19,covered_noisy_labels,head
445,0445,195,175,20,176,20,covered_noisy_labels,head
446,0446,228,205,23,205,23,covered_noisy_labels,head
447,0447,194,175,19,175,19,covered_noisy_labels,head
448,0448,244,220,24,221,24,covered_noisy_labels,head
449,0449,198,178,20,178,20,covered_noisy_labels,head
450,0450,242,218,24,218,24,covered_noisy_labels,head
451,0451,238,214,24,214,24,covered_noisy_labels,head
452,0452,179,161,18,161,18,covered_noisy_labels,head
453,0453,179,161,18,161,18,covered_noisy_labels,head
454,0454,233,210,23,210,23,covered_noisy_labels,head
455,0455,193,174,19,174,19,covered_noisy_labels,head
456,0456,241,217,24,218,24,covered_noisy_labels,head
457,0457,238,214,24,215,25,covered_noisy_labels,head
458,0458,139,125,14,125,14,covered_noisy_labels,head
459,0459,183,165,18,165,19,covered_noisy_labels,head
460,0460,232,209,23,209,23,covered_noisy_labels,head
461,0461,217,195,22,195,22,covered_noisy_labels,head
462,0462,231,208,23,208,23,covered_noisy_labels,head
463,0463,217,195,22,195,22,covered_noisy_labels,head
464,0464,183,165,18,165,18,covered_noisy_labels,head
465,0465,196,176,20,176,20,covered_noisy_labels,head
466,0466,217,195,22,195,22,covered_noisy_labels,head
467,0467,195,175,20,175,20,covered_noisy_labels,head
468,0468,217,195,22,196,22,covered_noisy_labels,head
469,0469,232,209,23,209,23,covered_noisy_labels,head
470,0470,197,177,20,177,20,covered_noisy_labels,head
471,0471,212,191,21,193,21,covered_noisy_labels,head
472,0472,242,218,24,218,24,covered_noisy_labels,head
473,0473,235,211,24,211,24,covered_noisy_labels,head
474,0474,163,147,16,147,16,covered_noisy_labels,head
475,0475,192,173,19,173,19,covered_noisy_labels,head
476,0476,217,195,22,195,22,covered_noisy_labels,head
477,0477,198,178,20,178,20,covered_noisy_labels,head
478,0478,217,195,22,195,22,covered_noisy_labels,head
479,0479,184,166,18,167,18,covered_noisy_labels,head
480,0480,159,143,16,143,16,covered_noisy_labels,head
481,0481,184,166,18,166,18,covered_noisy_labels,head
482,0482,228,205,23,205,23,covered_noisy_labels,head
483,0483,247,222,25,222,25,covered_noisy_labels,head
484,0484,237,213,24,213,24,covered_noisy_labels,head
485,0485,199,179,20,179,20,covered_noisy_labels,head
486,0486,190,171,19,171,19,covered_noisy_labels,head
487,0487,161,145,16,145,16,covered_noisy_labels,head
488,0488,189,170,19,171,19,covered_noisy_labels,head
489,0489,193,174,19,174,19,covered_noisy_labels,head
490,0490,180,162,18,162,18,covered_noisy_labels,head
491,0491,226,203,23,203,23,covered_noisy_labels,head
492,0492,229,206,23,207,23,covered_noisy_labels,head
493,0493,212,191,21,191,22,covered_noisy_labels,head
494,0494,223,201,22,201,22,covered_noisy_labels,head
495,0495,188,169,19,169,19,covered_noisy_labels,head
496,0496,241,217,24,219,24,covered_noisy_labels,head
497,0497,183,165,18,166,18,covered_noisy_labels,head
498,0498,129,116,13,116,13,covered_noisy_labels,head
499,0499,234,211,23,211,23,covered_noisy_labels,head
500,0500,234,211,23,212,23,covered_noisy_labels,head
501,0501,190,171,19,171,19,covered_noisy_labels,head
502,0502,242,218,24,219,24,covered_noisy_labels,head
503,0503,192,173,19,173,19,covered_noisy_labels,head
504,0504,230,207,23,209,23,covered_noisy_labels,head
505,0505,182,164,18,164,18,covered_noisy_labels,head
506,0506,219,197,22,197,22,covered_noisy_labels,head
507,0507,158,142,16,142,16,covered_noisy_labels,head
508,0508,174,157,17,157,17,covered_noisy_labels,head
509,0509,241,217,24,217,24,covered_noisy_labels,head
510,0510,224,202,22,202,22,covered_noisy_labels,head
511,0511,160,144,16,145,16,covered_noisy_labels,head
512,0512,172,155,17,155,17,covered_noisy_labels,head
513,0513,228,205,23,205,23,covered_noisy_labels,head
514,0514,185,167,18,167,18,covered_noisy_labels,head
