sample_index,image_path,image_sha256,noisy_label,class_name,trusted_v1,rejection_reasons,knn_label_agreement,prototype_top1_label,prototype_margin,clip_flip_cosine,cross_class_duplicate_conflict
50,/home/lux1/noise/train/0002/77933460eb88400eae4e9e9699e93f7b.jpg,3de4a70f6c0901507228a822731cd637b439392e26ae88b6a66d95f75d976ca7,2,2,True,,0.55,2,0.0116609335,0.9754859,False
51,/home/lux1/noise/train/0002/821bb10077364c2eb54be0f23a9b51d6.jpg,937880c5c4ab4f6e8ff05c1244cc283926f96d4bc18e89eb6cfa0e962e29acf1,2,2,False,low_knn_agreement,0.2,2,0.060459852,0.99268883,False
52,/home/lux1/noise/train/0002/9665b3f9707f42fbaf0736b23a40a6c2.jpg,b45d4f22ada42e3ee761b9e6c86ae679e8d0fdcbb018bfbb05783241442fa4d0,2,2,True,,0.4,2,0.045814157,0.993484,False
53,/home/lux1/noise/train/0002/9698c3b7ac594425b71d0bb1bc6ba147.jpg,d24937d703ea3bf4c9d2f7f9d2fa75a47bbf225d19cf1d17c9de10084076e0c2,2,2,False,low_knn_agreement;prototype_label_mismatch;low_prototype_margin,0.05,447,0.0044864416,0.99301606,False
54,/home/lux1/noise/train/0002/9a52924c7ca94f11ab7da8c363c21493.jpg,e1e6dc9b1dbfcf8ef00b9b7b1b4d1ccd86dd9509d01571a76dfb4dcf6ac61b92,2,2,False,low_knn_agreement;low_prototype_margin,0.35,2,1.8239021e-05,0.9932823,False
55,/home/lux1/noise/train/0002/b15b9587690c42e4a2603b56abb98353.jpg,352eff85c936c0e05a3eed958f107a6dcec9e3b92ad520673924ac31b9e6f012,2,2,False,low_knn_agreement;prototype_label_mismatch,0.05,379,0.030003488,0.92538404,False
56,/home/lux1/noise/train/0002/b16168be1abe4b678bbbb1a85f08fbe7.jpg,342e3f63948aa3ec8ca72c7b345fcd2d3c313120ca1745deb03d01b243971aca,2,2,False,low_knn_agreement,0.1,2,0.021677017,0.98988587,False
57,/home/lux1/noise/train/0002/b9c23c38897545efbc87200f1985cdc1.jpg,9dd91bc3aedc88ae122f64d4df990b667eaafc644762adc721be44ebace914eb,2,2,True,,0.7,2,0.015504539,0.991799,False
58,/home/lux1/noise/train/0002/bdee2885235346358c94f61434bc3b07.jpg,c430fa850a3b08fded55596001120a22a2db58fce34cacc5d79d13f512f7f797,2,2,True,,0.45,2,0.048982143,0.98546124,False
59,/home/lux1/noise/train/0002/c2975f512bcb43c5a962be474fb7b5b1.jpg,d0589c80ba7d4fa4e709115209d2238fec786afee8781448282ea6dad2bfbdea,2,2,False,low_knn_agreement;low_prototype_margin,0.05,2,0.00433594,0.9721574,False
60,/home/lux1/noise/train/0002/cb3d9ea15ed24d37a8911472258d9f3d.jpg,da78a07493c44366b0d84e9e140cac4942a102be04d81ed969befe9eed486e41,2,2,False,low_prototype_margin,0.5,2,0.0017262101,0.95543665,False
61,/home/lux1/noise/train/0002/e0c80cbb2e134f71a2bfdcdc9d783147.jpg,360b92545cf7d31b3f37a0bb660f154304d02c582666d9617851898bfb6b4531,2,2,False,low_knn_agreement;prototype_label_mismatch,0.0,94,0.011707783,0.9913683,False
62,/home/lux1/noise/train/0002/fb37c99cae544831861d72a52984adb2.jpg,8575ff804f51cde632c00ec748a056266028cb3757b0f6f7b61d1a3f213e018a,2,2,False,low_knn_agreement,0.3,2,0.03633535,0.9925838,False
63,/home/lux1/noise/train/0003/07332834d7934f6db90822018bfd4ec0.jpg,7d584dae8260040cd478c8127310751dbc0cf21e0f48fc81d777c4106da04bf5,3,3,False,low_knn_agreement;low_prototype_margin,0.35,3,0.005000174,0.96267414,False
64,/home/lux1/noise/train/0003/193709c2714546588753c6a5f42dfd91.jpg,cb8ba32cfa93cc43a0f918333ffbefcd78ae207d8e6e6ba2f5fcda8adf5333f9,3,3,False,low_knn_agreement;prototype_label_mismatch,0.1,251,0.01204145,0.98132104,False
65,/home/lux1/noise/train/0003/1b06eda9eef54c56972fa8c4db428e58.jpg,0e7f12b5cc705cfcca63828a5ccef44b610b1241aa24f177069c5f0911ff0109,3,3,False,low_knn_agreement;prototype_label_mismatch;low_prototype_margin,0.05,364,0.006295383,0.9896572,False
66,/home/lux1/noise/train/0003/1e2f3e2e846341788bf396133c8374e2.jpg,ab705ef41e4319fb20d9353e65c88be20b8d804042993727dd7f816779ea0f28,3,3,False,low_knn_agreement;prototype_label_mismatch;low_prototype_margin,0.35,288,0.0006726384,0.9856511,False
67,/home/lux1/noise/train/0003/1eea1dc17ce74c88b7c9b4d76ba9d603.jpg,49757923f6be5cdcdcafc223b4a3c22917fcc669334303208f83ad2e32d355c7,3,3,False,low_knn_agreement;prototype_label_mismatch;low_prototype_margin,0.0,441,0.0025691986,0.98890626,False
68,/home/lux1/noise/train/0003/261c832b77c242c483a37ea59c717c82.jpg,56bc47e382d79ee32c0a01504c73aee4edc51448a535231cc700c7e9f939e2b2,3,3,False,low_knn_agreement;prototype_label_mismatch,0.15,251,0.01339674,0.98918563,False
69,/home/lux1/noise/train/0003/29baf781b1064a1393a8900975dccbf4.jpg,be8fbd40289ebb3cf9f19e8c01ba82c5d96891f288eb87a0814edec5a7238447,3,3,False,low_knn_agreement;prototype_label_mismatch;low_prototype_margin,0.05,79,0.0048164725,0.9907557,False
70,/home/lux1/noise/train/0003/4500bbb85ee94c51bd00666a4abad203.jpg,7a8f43ee5de4f77b590bb2605805c68505a6157a5ae2db86a802ef0d601dd6f1,3,3,False,low_knn_agreement;prototype_label_mismatch;low_prototype_margin,0.15,302,0.0015312433,0.9854234,False
71,/home/lux1/noise/train/0003/4763e244bc084c1e8d377fb4472ba288.jpg,8b7dd76194445adbc4217a55d754e6c26837cadaaf7338d7689af4b211c8070c,3,3,False,low_knn_agreement;prototype_label_mismatch;low_prototype_margin,0.0,71,0.004226148,0.9584655,False
72,/home/lux1/noise/train/0003/4995204eb787491eae970bacd41260b4.jpg,4c18b5c27ccf152381545e183985d8064d34d19551900b4e9ceee6ebaf29237b,3,3,False,low_knn_agreement;low_prototype_margin,0.1,3,0.00040465593,0.96841896,False
73,/home/lux1/noise/train/0003/6dc9bd8963054d09a8696d1edc0fc5bc.jpg,63163000f3977e73db4ce29a79e7d1088badb0a26a1709ecf85ed6a791efe48d,3,3,False,low_knn_agreement;prototype_label_mismatch,0.0,354,0.024616063,0.9950158,False
74,/home/lux1/noise/train/0003/7d9232a1cffd4a79bba2a56e4a6fb17f.jpg,cc6c35abc7d435eb0a15cf2fbd08cb8ef642405022f27b8f6ef3f7f79d5f308b,3,3,False,low_knn_agreement;prototype_label_mismatch;low_prototype_margin,0.15,39,0.009497702,0.979002,False
75,/home/lux1/noise/train/0003/80e0c10d7e574d7593fad53a074b8e80.jpg,415ef9bfefedf7bb62aa66fbe21290b654a977a0cc89f771e3aebfad629bf758,3,3,False,low_knn_agreement;prototype_label_mismatch;low_prototype_margin,0.35,227,0.004211068,0.9571556,False
76,/home/lux1/noise/train/0003/847fea50a61c4d6c854f60f7ac93b551.jpg,f477c87b28ebd24dd870a3274dac04a518fc48b61ecbbf57d30cd535dd6c24e4,3,3,False,low_knn_agreement;prototype_label_mismatch;low_prototype_margin,0.1,301,0.0038589835,0.9910634,False
77,/home/lux1/noise/train/0003/86c340810d3c410c8f20247b39312978.jpg,b0e4cbcec053e2e51f96bb3c2919975412bd5db961e2b60f33248f61ea1da0cb,3,3,False,low_knn_agreement;prototype_label_mismatch;low_prototype_margin,0.0,462,0.0020361543,0.986714,False
78,/home/lux1/noise/train/0003/930c4d6584d6440bbdefe1bef44c1ef3.jpg,befbc577a6ad85024c6299b8b91048cf934aaa842ed96ba67e1ec75694b89868,3,3,False,low_knn_agreement;prototype_label_mismatch,0.05,75,0.015935421,0.9932577,False
79,/home/lux1/noise/train/0003/a8f22a3f76de4cf3a6a8ce33f007b14c.jpg,283aada903e19b1a5f02731503526db3e3342cb2c32176a0378e6f519e285c45,3,3,False,low_knn_agreement;prototype_label_mismatch;low_prototype_margin,0.0,33,0.009046674,0.97842455,False
80,/home/lux1/noise/train/0003/af248489e9994246a412d71d1d6683fb.jpg,17b22cdac515272cc0a57f2da25dc7f586f77156a920b543618487b46d0f18fa,3,3,False,low_knn_agreement;prototype_label_mismatch;low_prototype_margin,0.1,233,0.0037264228,0.9688805,False
81,/home/lux1/noise/train/0003/e6b532e6fa17442fac5954e61a129ad5.jpg,18eed5ad8f464e0c8974f625680917b72b869ead688209aa7136f35d696bb953,3,3,False,low_knn_agreement;prototype_label_mismatch;low_prototype_margin,0.2,302,0.0012339354,0.98948514,False
82,/home/lux1/noise/train/0003/ee2a769f51f54bef9b1a1af2105518ce.jpg,5b9505cc4bb67c1830a0274a4e06c1b79fc532c5cceb00d3c314347ff04e6d65,3,3,False,low_knn_agreement;prototype_label_mismatch;low_prototype_margin,0.0,411,0.0071563125,0.96838295,False
83,/home/lux1/noise/train/0003/f54c2a397cc94c5fb7fcb1f8c9c5225f.jpg,b1520f072aa9390b9d02a473d1bf97aaae60306888054e9174e605ab35fd8881,3,3,False,low_knn_agreement,0.2,3,0.0223642,0.9936038,False
84,/home/lux1/noise/train/0004/12465ef07ee44fb1a650e8324e1966f0.jpg,653bf6e323800780c28d24552bd38e30cd7d95839bfd21055bb7a4ab1b8d7e2c,4,4,False,low_prototype_margin,0.7,4,0.007811308,0.9939775,False
85,/home/lux1/noise/train/0004/1ba60e4f65224f72afe179d6beb3fe5c.jpg,c81c6e00f1d1e53f8913ff0d6e9373fc07173da8ad17d0d5f29223a68edcd2cf,4,4,False,low_prototype_margin,0.75,4,0.0062528253,0.99153566,False
86,/home/lux1/noise/train/0004/2155f918e04541b0b822064b560691b9.jpg,8afec7c8bc7349a300ed4231fcd4a2a91f811828a33274eb57a5d1d345dce3bc,4,4,True,,0.95,4,0.012810111,0.9916241,False
87,/home/lux1/noise/train/0004/215648e2b9b646b7b1678db7a4b744c0.jpg,bdbfe9884caf0a366c4830b90024c0514c81271bf57626eb50b7facbfff26250,4,4,False,low_prototype_margin,0.9,4,0.0076640844,0.987265,False
88,/home/lux1/noise/train/0004/2aeceb21acd5454a8a7434e38c2a761f.jpg,a5d590feaa0ea50d09c915ae9f3e73d355959f8ce5c33564804875664563fcfa,4,4,True,,0.9,4,0.032791793,0.95976907,False
89,/home/lux1/noise/train/0004/2bb52229f99c4464ad928b2f2c760340.jpg,206bc82271be91747cbcca82f05cafae7096bcf947cbca7a1080f9b6737c6d6b,4,4,True,,1.0,4,0.040184855,0.9253289,False
90,/home/lux1/noise/train/0004/30f5788768224cb4901038c289ff61cb.jpg,5dc3303d496d932a1fb6da23bb21f59c573e03946e0f8619ef0e2322edd61b86,4,4,False,low_prototype_margin,0.45,4,0.0010009408,0.95512044,False
91,/home/lux1/noise/train/0004/337851e7b70d4c98ad169f7ea8e9dc9a.jpg,59c7bfe56bb5cfd28460c806b2410ce8f6290078ea6adc9a97ec42dcd7ccb9ab,4,4,True,,0.9,4,0.012327373,0.9898013,False
92,/home/lux1/noise/train/0004/3383be1aef12440c87b089a0052fcd30.jpg,a1b38993aa3a328e18ee8393acb85420dd8d77755b6abcc78b43c127f57a47ff,4,4,True,,0.9,4,0.019275129,0.9938909,False
93,/home/lux1/noise/train/0004/4e28ed8ab4eb4730af1e6d2992138e5a.jpg,e1e545e988f53a335b489c29202c5a64c436761bba19584f9d13dd17e0e44d98,4,4,False,low_knn_agreement;prototype_label_mismatch,0.25,140,0.015508175,0.9634805,False
94,/home/lux1/noise/train/0004/53661fe38d6d40ed87c2f59aa8ae0e00.jpg,8bc78afb097a82552749cab6d482bf4513d0313f63bb35b533020fa8fe5ff830,4,4,False,low_prototype_margin,0.7,4,0.0011897087,0.99531645,False
95,/home/lux1/noise/train/0004/6a61f7655a564aabb1fd1b3f59e22395.jpg,e6447262fc92534f183ddf4fc0acc72a96a712d76f7ebf9f7803840a18b85653,4,4,True,,0.8,4,0.044034064,0.9920064,False
96,/home/lux1/noise/train/0004/6dfad3384d1847ee9c877cc9382c96e7.jpg,5a5aefa03af848fdf5c78d5a1d77a452598239565d85a3333b36648c3010fd3c,4,4,False,low_prototype_margin,0.45,4,0.0063959956,0.99366236,False
97,/home/lux1/noise/train/0004/733aad6e95534591b9607c71f8f9d464.jpg,fb44a9e6e72e8b855769b4e6ea13018f179cd9f6c3f6f6515dacbe5adc6ccc54,4,4,True,,0.8,4,0.02008444,0.98321533,False
98,/home/lux1/noise/train/0004/78f32905d74d4210a8da836e82f66533.jpg,3974671d4aaf06994a99a5f27a273a75d336c0fe2d104184d33d0474a52b2dfc,4,4,False,low_prototype_margin,0.9,4,0.0079625845,0.99523866,False
99,/home/lux1/noise/train/0004/8e6baf088c7a41dfbaed037c5f20967b.jpg,a38c7cbdfcce5aaf3cb4bdd96200fda532aaba249eece34a8f7f0e893c758f2f,4,4,False,prototype_label_mismatch;low_prototype_margin,0.65,459,0.0062938333,0.98370594,False
100,/home/lux1/noise/train/0004/a185349879984ceb9c794b90ab9790e4.jpg,8e01387ff8eddfd1acef64a24d97e0a46ff30867c6d941214bbf46db7196ab77,4,4,False,low_prototype_margin,0.55,4,0.009857953,0.99296266,False
101,/home/lux1/noise/train/0004/a89b71f543b64d7a80d4d3d2ee6e18df.jpg,a8ac7d781fd3aa9b10c4e22fb02e7191dad5e60bd10c3a084d6c05b1817004d6,4,4,True,,0.9,4,0.015227735,0.9855571,False
102,/home/lux1/noise/train/0004/af73ba3fa7c04b9392a98bcd2deadf18.jpg,0a7c83e713d9d63df7a8019b976fa82863882365913222ab20a64287ee8777ec,4,4,True,,0.9,4,0.020490587,0.99288726,False
103,/home/lux1/noise/train/0004/bb43c5a027c54246b5633de1c91fed3d.jpg,581354922ea574629cfae0a7f97cab761ec3f4a9f82f9bb6783c2852fedde39b,4,4,True,,0.7,4,0.044076383,0.96705246,False
104,/home/lux1/noise/train/0004/c3e3418ccb81426d81ba9e5a7c27b8d3.jpg,7693a04c1c5f394ea7ed8915accdc25583c8164f903aef004b1601ec312f7249,4,4,True,,0.85,4,0.0115510225,0.9909417,False
105,/home/lux1/noise/train/0005/02c64ec6f00d4141b4222abd0486826c.jpg,23b8e92acb93499803f63c46e95f43c12cc888619ea0b8f5029725a10a2ce870,5,5,False,low_knn_agreement;prototype_label_mismatch;low_prototype_margin,0.0,341,0.007106364,0.9924664,False
106,/home/lux1/noise/train/0005/0802599d7a3c481b96709e01c3494485.jpg,e9e2fedfc973f638a7eb9971ee3857d697dd6d880b039ba90ef49cd568ee1e10,5,5,False,low_knn_agreement;prototype_label_mismatch;low_prototype_margin,0.0,235,0.0011365414,0.9813379,False
107,/home/lux1/noise/train/0005/0b0ef9466db84f9ab6e37b970a07d3a2.jpg,3d7ef0e835be0db67a55d77ba814a9a40778d4cd58208f343760fad3b64d9edc,5,5,False,low_knn_agreement;prototype_label_mismatch;low_prototype_margin,0.2,36,0.0071763396,0.9816511,False
